"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-10-01,game 3,ru,false,34,113.04,3,37.68,0,0,1,31.8,0,0,2,98.61,0.0000,0.0000,5.61,-22.98,14.43,,
2022-10-01,game 3,ru,false,37,47.79,1,47.79,0,0,1,47.79,1,16.98,1,16.98,1.0000,1.0000,0,0,30.81,1.00,47.79
2022-10-01,game 3,ru,false,44,12.6,1,12.60,1,12.6,0,0,0,0,,,,,0,0,12.6,,
2022-10-01,game 3,ru,true,20,167.43,2,83.72,0,0,1,30.57,0,0,1,79.08,0.0000,0.0000,57.78,0,88.35,,
2022-10-01,game 3,ru,true,21,27.30,1,27.30,0,0,0,0,0,0,1,32.70,0.0000,0.0000,0,-5.40,-5.40,,
2022-10-01,game 3,ru,true,24,19.02,1,19.02,0,0,0,0,0,0,1,20.91,0.0000,0.0000,0,-1.89,-1.89,,
2022-10-01,game 3,ru,true,26,17.82,1,17.82,0,0,0,0,0,0,1,90.09,0.0000,0.0000,0,-72.27,-72.27,,
2022-10-01,game 3,uk,false,14,195.60,5,39.12,2,53.34,1,47.46,0,0,2,87.60,0.0000,0.0000,41.04,-33.84,108.00,,
2022-10-01,game 3,uk,false,15,222.30,5,44.46,1,36.75,0,0,1,42.54,5,221.55,0.2000,0.1920,39.84,-33.30,0.75,5.00,222.30
2022-10-01,game 3,uk,false,16,761.04,13,58.54,0,0,2,195.15,0,0,11,642.87,0.0000,0.0000,128.13,-205.11,118.17,,
2022-10-01,game 3,uk,false,17,175.02,5,35.00,3,138.63,0,0,1,55.17,3,119.73,0.3333,0.4608,3.24,-31.41,55.29,3.00,105.01
2022-10-01,game 3,uk,false,18,282.66,6,47.11,1,15.48,0,0,1,19.56,6,249.27,0.1667,0.0785,81.39,-43.92,33.39,6.00,282.60
2022-10-01,game 3,uk,false,19,624.48,10,62.45,6,320.91,0,0,5,200.37,9,364.41,0.5556,0.5498,155.10,-15.57,260.07,1.80,112.40
2022-10-01,game 3,uk,false,20,582.60,11,52.96,0,0,0,0,2,58.86,13,559.86,0.1538,0.1051,214.41,-132.81,22.74,6.50,344.34
2022-10-01,game 3,uk,false,21,408.63,6,68.11,1,24.96,0,0,2,121.35,7,428.91,0.2857,0.2829,177.45,-101.34,-20.28,3.50,238.40
2022-10-01,game 3,uk,false,22,242.67,5,48.53,0,0,0,0,0,0,5,374.22,0.0000,0.0000,18.99,-150.54,-131.55,,
2022-10-01,game 3,uk,false,23,276.39,9,30.71,2,31.29,0,0,0,0,7,187.62,0.0000,0.0000,123.42,-65.94,88.77,,
2022-10-01,game 3,uk,false,24,644.94,8,80.62,1,19.17,1,71.91,1,50.19,7,379.05,0.1429,0.1324,286.41,-61.41,265.89,7.00,564.17
2022-10-01,game 3,uk,false,25,660.51,13,50.81,2,73.74,3,118.68,2,119.55,10,628.62,0.2000,0.1902,112.26,-153.24,31.89,5.00,254.05
2022-10-01,game 3,uk,false,26,78.33,4,19.58,2,28.20,1,18.0,1,26.64,2,57.15,0.5000,0.4661,1.62,0,21.18,2.00,39.16
